run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.epoch,metrics.val_accuracy,min_val_loss,metrics.train_loss_epoch,train_time_s,metrics.train_loss_step,metrics.lr-Adam,test_f1_macro,num_params,metrics.train_accuracy,test_accuracy,params.n_val,params.agg,params.tokenizer,params.optimizer_params/lr,params.n_classes,params.batch_size,params.train_fraction,vocab_size,params.n_train,params.scheduler_params/factor,params.n_test,emb_dim,lr,n_heads_label_attn,params.scheduler_params/patience,params.epochs,params.optimizer_params/weight_decay,params.scheduler,n_head,params.optimizer,params.scheduler_interval,params.scheduler_params/mode,params.dataset,n_layers,tags.mlflow.source.type,tags.mlflow.user,tags.mlflow.source.name,tags.mlflow.source.git.commit,tags.mlflow.runName,architecture
fe835c7f6ae44312a061aa62bf494983,13,FINISHED,mlflow-artifacts:/13/fe835c7f6ae44312a061aa62bf494983/artifacts,2026-07-20 18:07:27.106000+00:00,2026-07-20 20:49:52.089000+00:00,35.0,0.8619199991226196,0.4611794650554657,0.3368804454803467,9567.2,0.3634411692619324,0.0001,0.5805,2647591,0.8952373266220093,0.8675,50000,mean,wordpiece,0.0001,679,128,1.0,20000,1208579,0.5,50000,128,0.0001,None,2,100,0.0001,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,None,<class 'torch.optim.adam.Adam'>,epoch,min,naf,0,LOCAL,projet-text-classif,/home/onyxia/work/insee_internship/src/train.py,040271ecffc910e0d4ce6d367a6c5860ba5c4701,ambitious-gnu-181,FastText
8bacfb06ecd84f0f87d8527afead8baf,13,FINISHED,mlflow-artifacts:/13/8bacfb06ecd84f0f87d8527afead8baf/artifacts,2026-07-20 03:24:41.329000+00:00,2026-07-20 05:33:29.893000+00:00,10.0,0.8619400262832642,0.4614623486995697,0.3420969843864441,7537.8,0.30764132738113403,0.0001,0.6028,5468327,0.8914651274681091,0.8672,50000,mean,wordpiece,0.0001,679,128,1.0,10000,1208579,0.5,50000,512,0.0001,None,2,100,0.0001,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,None,<class 'torch.optim.adam.Adam'>,epoch,min,naf,0,LOCAL,projet-text-classif,/home/onyxia/work/insee_internship/src/train.py,040271ecffc910e0d4ce6d367a6c5860ba5c4701,rogue-trout-192,FastText
8684adf3b2904c2380d4cc68d28630bf,13,FINISHED,mlflow-artifacts:/13/8684adf3b2904c2380d4cc68d28630bf/artifacts,2026-07-24 07:36:09.752000+00:00,2026-07-24 19:21:08.893000+00:00,27.0,0.8615400195121765,0.4615677297115326,0.4288467466831207,42060.2,0.5057269334793091,0.001,0.5813,5556225,0.8672292232513428,0.8645,50000,mean,wordpiece,0.001,679,128,1.0,20000,1208579,0.5,50000,256,0.001,4,2,100,0.0001,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,None,<class 'torch.optim.adam.Adam'>,epoch,min,naf,0,LOCAL,projet-text-classif,/home/onyxia/work/insee_internship/src/train.py,040271ecffc910e0d4ce6d367a6c5860ba5c4701,treasured-dove-818,FastText + Label Attention
0d6df0b4fe40492995a399eb2e815457,13,FINISHED,mlflow-artifacts:/13/0d6df0b4fe40492995a399eb2e815457/artifacts,2026-07-21 20:30:32.652000+00:00,2026-07-22 23:38:18.959000+00:00,26.0,0.8578400015830994,0.4624425768852234,0.43077585101127625,97474.7,0.45897775888442993,0.001,0.561,3956737,0.865825891494751,0.8623,50000,mean,wordpiece,0.001,679,128,1.0,5000,1208579,0.5,50000,512,0.001,4,2,100,0.0001,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,None,<class 'torch.optim.adam.Adam'>,epoch,min,naf,0,LOCAL,projet-text-classif,/home/onyxia/work/insee_internship/src/train.py,040271ecffc910e0d4ce6d367a6c5860ba5c4701,intelligent-bear-394,FastText + Label Attention
fd2203dd89cb439cb94850f53674d25b,13,FINISHED,mlflow-artifacts:/13/fd2203dd89cb439cb94850f53674d25b/artifacts,2026-07-22 03:24:34.023000+00:00,2026-07-22 09:14:57.021000+00:00,28.0,0.8590800166130066,0.46262234449386597,0.42313262820243835,20846.1,0.3275456428527832,0.001,0.5544,1432577,0.8687930107116699,0.8643,50000,mean,wordpiece,0.001,679,128,1.0,10000,1208579,0.5,50000,128,0.001,4,2,100,0.0001,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,None,<class 'torch.optim.adam.Adam'>,epoch,min,naf,0,LOCAL,projet-text-classif,/home/onyxia/work/insee_internship/src/train.py,040271ecffc910e0d4ce6d367a6c5860ba5c4701,sedate-auk-387,FastText + Label Attention
4f5958e751b746388f8202bf009663d7,13,FINISHED,mlflow-artifacts:/13/4f5958e751b746388f8202bf009663d7/artifacts,2026-07-20 11:36:36.285000+00:00,2026-07-20 17:22:58.876000+00:00,15.0,0.8646000027656555,0.4640219807624817,0.34542661905288696,20589.9,0.2810850143432617,0.0001,0.5722,948225,0.8869275450706482,0.8675,50000,mean,wordpiece,0.0001,679,128,1.0,2000,1208579,0.5,50000,256,0.0001,4,2,100,0.0001,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,None,<class 'torch.optim.adam.Adam'>,epoch,min,naf,0,LOCAL,projet-text-classif,/home/onyxia/work/insee_internship/src/train.py,040271ecffc910e0d4ce6d367a6c5860ba5c4701,lyrical-squirrel-690,FastText + Label Attention
fa75ef24ce734eb8ad6b1331e44a550b,13,FINISHED,mlflow-artifacts:/13/fa75ef24ce734eb8ad6b1331e44a550b/artifacts,2026-07-20 05:34:44.143000+00:00,2026-07-20 09:35:27.034000+00:00,19.0,0.8623800277709961,0.4641757011413574,0.333562970161438,14256.0,0.32520580291748047,0.0001,0.6087,10588327,0.8932796120643616,0.8664,50000,mean,wordpiece,0.0001,679,128,1.0,20000,1208579,0.5,50000,512,0.0001,None,2,100,0.0001,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,None,<class 'torch.optim.adam.Adam'>,epoch,min,naf,0,LOCAL,projet-text-classif,/home/onyxia/work/insee_internship/src/train.py,040271ecffc910e0d4ce6d367a6c5860ba5c4701,monumental-whale-594,FastText
46a7f7682e2f4e54ae670b162b526cca,13,FINISHED,mlflow-artifacts:/13/46a7f7682e2f4e54ae670b162b526cca/artifacts,2026-07-21 07:16:51.709000+00:00,2026-07-21 08:54:46.686000+00:00,15.0,0.860480010509491,0.4653860926628113,0.42806360125541687,5669.6,0.3307121992111206,0.001,0.5694,379905,0.8676743507385254,0.8631,50000,mean,wordpiece,0.001,679,128,1.0,5000,1208579,0.5,50000,64,0.001,4,2,100,0.0001,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,None,<class 'torch.optim.adam.Adam'>,epoch,min,naf,0,LOCAL,projet-text-classif,/home/onyxia/work/insee_internship/src/train.py,040271ecffc910e0d4ce6d367a6c5860ba5c4701,dazzling-shad-348,FastText + Label Attention
ebf0c49b73514ac0b065f964e31a754c,13,FINISHED,mlflow-artifacts:/13/ebf0c49b73514ac0b065f964e31a754c/artifacts,2026-07-20 11:37:54.534000+00:00,2026-07-20 17:28:32.193000+00:00,29.0,0.8626999855041504,0.4654257297515869,0.36562949419021606,20859.8,0.30087852478027344,0.0001,0.5832,408577,0.8818099498748779,0.8663,50000,mean,wordpiece,0.0001,679,128,1.0,2000,1208579,0.5,50000,128,0.0001,4,2,100,0.0001,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,None,<class 'torch.optim.adam.Adam'>,epoch,min,naf,0,LOCAL,projet-text-classif,/home/onyxia/work/insee_internship/src/train.py,040271ecffc910e0d4ce6d367a6c5860ba5c4701,skillful-snake-191,FastText + Label Attention
ab5c61ea9b71450dbb9eac572c525bd6,13,FINISHED,mlflow-artifacts:/13/ab5c61ea9b71450dbb9eac572c525bd6/artifacts,2026-07-20 14:52:37.171000+00:00,2026-07-20 18:13:34.677000+00:00,52.0,0.8637199997901917,0.46552374958992004,0.36230286955833435,11862.9,0.371932715177536,6.25e-05,0.5429,684135,0.8914717435836792,0.8674,50000,mean,wordpiece,0.001,679,128,1.0,10000,1208579,0.5,50000,64,0.001,None,2,100,0.0001,<class 'torch.optim.lr_scheduler.ReduceLROnPlateau'>,None,<class 'torch.optim.adam.Adam'>,epoch,min,naf,0,LOCAL,projet-text-classif,/home/onyxia/work/insee_internship/src/train.py,040271ecffc910e0d4ce6d367a6c5860ba5c4701,luxuriant-pug-181,FastText
